의료기관명,소재지,전화번호,병상수,개설일자,구군,종별
하나가정의학과의원,울산광역시 중구 태화로 126 (태화동),052-249-9450,0,1998-09-03,중구,의원
엔브이성형외과의원(NV성형외과의원),"울산광역시 남구 삼산로 287, 8-9층 (삼산동)",052-256-1711,0,2023-08-18,남구,의원
온산행복이비인후과의원,"울산광역시 울주군 온산읍 덕신로 262, 2층",052-933-5575,0,2018-08-28,울주군,의원
울산연합소아청소년과의원,"울산광역시 동구 방어진순환도로 652, D동 3층 (일산동, 테라스파크)",052-236-7711,21,2011-06-07,동구,의원
한솔정형외과의원,울산광역시 동구 대학길 77(화정동),052-232-1400,0,2003-01-02,동구,의원
현대편안내과의원,울산광역시 동구 방어진순환도로 937(서부동),052-235-7575,0,2015-10-19,동구,의원
강남피부과의원,"울산광역시 동구 방어진순환도로 652, 테라스파크 1동 3층 B301,B302호 (일산동)",052-236-5004,0,2012-06-22,동구,의원
울산영상의학과의원,울산광역시 남구 삼산로 266 (삼산동),052-244-8044,0,2005-09-06,남구,의원
김진우심당내과의원,"울산광역시 남구 삼산로 167, 2층 (달동)",052-271-3071,0,2004-05-21,남구,의원
양주동내과의원,울산광역시 울주군 온산읍 덕신로 260,052-238-8275,0,1998-06-16,울주군,의원
바로정형외과의원,"울산광역시 남구 중앙로 173, 1,2,3,4층 (신정동)",052-707-0085,28,2016-05-12,남구,의원
탑 이비인후과의원,"울산광역시 북구 박상진12로 11, 지오타워 5층 503,504호 (송정동)",052-249-7582,0,2020-07-20,북구,의원
홍정형외과의원,"울산광역시 북구 신답로 35, 7,8층 (상안동, 하이크리닉)",052-285-1100,14,2007-03-02,북구,의원
언양제일정형외과의원,울산광역시 울주군 언양읍 반구대로 815,052-262-2211,0,2001-01-19,울주군,의원
밝은성모안과의원,"울산광역시 남구 수암로 118-3, 4층 (신정동)",052-260-7581,0,2009-01-23,남구,의원
오케이비뇨기과의원,"울산광역시 북구 신답로 48, 312호 (상안동, 프리지아)",052-281-1888,0,2006-12-11,북구,의원
에이블러의원,"울산광역시 중구 종가6길 4-5, 맨하탄빌딩 7층 (우정동)",052-212-2992,0,2022-04-25,중구,의원
행복한내과의원,"울산광역시 북구 명촌로 85, 301동 206호 (명촌동, 평창리비에르2차상가)",052-283-2299,0,2016-09-05,북구,의원
드림아이의원,"울산광역시 북구 호계매곡1로 31, 상가동 지상1층 105호 (매곡동, 드림인시티 에일린의뜰 1차)",052-295-0129,0,2018-08-29,북구,의원
길맨의원,"울산광역시 남구 삼산로 283, 8층 (삼산동, 소망빌딩)",052-261-0807,0,2013-08-30,남구,의원
김복근내과의원,"울산광역시 남구 신정로 39, 2층 (달동)",052-267-0975,0,2001-03-03,남구,의원
서울튼튼소아청소년과의원,"울산광역시 울주군 온산읍 덕신로 217, 1층",052-237-1102,0,2019-03-27,울주군,의원
동해강의원,"울산광역시 울주군 온산읍 덕신로 259, 1층",052-238-7525,0,2007-07-23,울주군,의원
화인마취통증의학과의원,"울산광역시 남구 삼산로 273, 삼산타워 601, 602호 (삼산동)",052-707-9131,0,2020-02-19,남구,의원
한길내과의원,"울산광역시 남구 삼산로 209, 2,3층 (달동)",052-269-1400,0,1998-05-15,남구,의원
가나정형외과의원,울산광역시 동구 방어진순환도로 713 (전하동),052-252-1212,0,2004-05-31,동구,의원
시민건강의원,"울산광역시 남구 북부순환도로 48, 4,7층 (무거동)",052-221-0675,0,2018-03-15,남구,의원
최정형외과의원,울산광역시 울주군 범서읍 천상중앙길 51,052-211-5861,0,2002-02-09,울주군,의원
이유성형외과의원,"울산광역시 중구 강북로 123, 101동 3층 305, 306, 307, 308호 (옥교동, 태화강엑소디움)",052-244-2626,0,2016-12-14,중구,의원
강남마취통증의학과의원,"울산광역시 남구 삼산로 26, 2층 201호 (신정동, 공업탑 하트랜드)",052-927-7582,0,2016-12-14,남구,의원
김준형정신건강의학과의원,울산광역시 울주군 언양읍 동문길 65,052-254-7579,0,2015-06-26,울주군,의원
김경원산부인과의원,"울산광역시 북구 호계로 332-1, 2층 (신천동, 현대하이플러스상가)",052-296-5600,0,2009-03-03,북구,의원
온산의원,울산광역시 울주군 온산읍 덕신로 258,052-237-5480,0,1993-01-27,울주군,의원
성모이비인후과의원,"울산광역시 울주군 범서읍 구영로 100, 3층 302호 (구영프라자)",052-248-7585,2,2008-03-03,울주군,의원
배양규비뇨의학과의원,"울산광역시 남구 삼산로 171, 2,3층 (달동)",052-260-6000,3,2018-09-21,남구,의원
지움의원,"울산광역시 남구 수암로 130, 6층 (야음동)",052-700-2600,0,2020-01-31,남구,의원
한마음신경외과의원,울산광역시 중구 명륜로 32 (우정동),052-243-3119,29,1997-11-28,중구,의원
하늘이비인후과의원,"울산광역시 북구 명촌로 75, 2층 (명촌동, 미남빌딩)",052-289-7582,0,2002-08-02,북구,의원
마디마취통증의학과의원,"울산광역시 북구 호계로 322, 3층 (신천동)",052-295-1003,0,2010-02-09,북구,의원
신정동권샘내과의원,"울산광역시 남구 중앙로 263, 3층 (신정동)",052-922-2467,0,2017-03-02,남구,의원
명품동안의원,울산광역시 동구 대학길 40 (화정동),052-209-2445,0,2015-07-21,동구,의원
다온소아청소년과의원,"울산광역시 남구 수암로 132, 7~8층 (야음동)",052-716-7071,14,2017-04-03,남구,의원
대한의원,울산광역시 동구 월봉6길 40 (방어동),052-232-7582,0,1999-08-23,동구,의원
황기호정형외과의원,울산광역시 동구 방어진순환도로 769(전하동),052-252-7575,27,1991-03-22,동구,의원
이강길성형외과의원,울산광역시 남구 삼산로 269 (삼산동),052-256-1600,0,2002-04-09,남구,의원
울산탑비뇨기과의원,울산광역시 남구 화합로 196 (삼산동),052-261-5885,2,1996-03-02,남구,의원
김성준내과의원,"울산광역시 울주군 범서읍 구영로 100, 4층 401,402호 (구영프라자)",052-248-0078,0,2008-04-04,울주군,의원
온산성모안과의원,울산광역시 울주군 온산읍 덕남로 15,052-238-0775,0,2005-05-10,울주군,의원
최이비인후과의원,"울산광역시 울주군 온산읍 덕신로 264, 2층",052-238-9207,0,2003-05-30,울주군,의원
양도훈비뇨기과의원,"울산광역시 울주군 언양읍 동문길 65, 5층",052-263-6776,0,2002-11-20,울주군,의원
미래의원,"울산광역시 남구 수암로 138, 7층 (야음동)",052-268-0050,0,2002-04-03,남구,의원
정희승가정의원,"울산광역시 울주군 범서읍 천상길 2, 3층",052-248-5575,0,2015-03-20,울주군,의원
세한정형외과의원,"울산광역시 중구 번영로 487, 대호빌딩 3층 (약사동)",052-291-1199,0,2006-10-25,중구,의원
페밀리신경외과의원,"울산광역시 남구 대학로 144, 2,3,8층 (무거동)",052-249-4100,0,1997-08-13,남구,의원
미소산부인과의원,"울산광역시 울주군 온양읍 온양로 80, 1층",052-239-7133,0,2007-07-23,울주군,의원
새아침연합내과의원,"울산광역시 남구 수암로 118-3, 5층 (신정동)",052-246-3000,0,2006-11-28,남구,의원
이순일내과의원,울산광역시 북구 호계2길 7 (호계동),052-282-7588,0,2006-04-20,북구,의원
구암의원,울산광역시 북구 염포로 633 (염포동),052-287-7246,0,1982-09-28,북구,의원
비너스외과의원,"울산광역시 남구 삼산로 216, 5,6,11층 (달동)",052-716-0075,29,2016-12-01,남구,의원
박정운의원,울산광역시 동구 꽃바위로 311 (방어동),052-235-7557,0,2005-12-28,동구,의원
임태균산부인과의원,"울산광역시 동구 방어진순환도로 1125, 임태균산부인과 (서부동)",052-251-5500,0,1982-02-25,동구,의원
김용기내과의원,울산광역시 동구 전하로 2(전하동),052-236-6139,0,1992-04-09,동구,의원
박가정의원,울산광역시 동구 진성4길 57 (전하동),052-224-1175,0,2010-11-01,동구,의원
강남내과의원,울산광역시 동구 방어진순환도로 577 (화정동),052-234-5191,0,2014-10-13,동구,의원
한솔연합내과의원,"울산광역시 동구 방어진순환도로 1138, 소망메디컬 (서부동)",052-247-7500,0,2016-02-26,동구,의원
서울탑신경외과의원,"울산광역시 동구 대학길 30, 2층 (화정동)",052-716-1051,0,2022-11-04,동구,의원
소창옥소아청소년과의원,울산광역시 동구 월봉8길 54 (화정동),052-236-6777,0,1997-02-28,동구,의원
김종진내과의원,"울산광역시 중구 번영로 577, 2층 (남외동)",052-296-2326,0,1992-09-07,중구,의원
오즈소아청소년과의원,"울산광역시 남구 삼산로278번길 8, 5층 (삼산동)",052-271-1400,0,2013-10-15,남구,의원
현대정형외과의원,울산광역시 동구 방어진순환도로 482 (방어동),052-234-6119,29,2003-06-30,동구,의원
시계탑리즈여성의원,"울산광역시 중구 학성로 99, 4층 (옥교동)",052-249-1004,0,2010-12-09,중구,의원
미래산부인과의원,울산광역시 중구 중앙길 95 (성남동),052-243-6002,0,2001-03-02,중구,의원
울산편한내과의원,"울산광역시 남구 번영로 119, 3~5층 (달동)",052-272-2726,0,2003-03-03,남구,의원
푸른정형외과의원,"울산광역시 남구 삼산로 171, 5,6층 (달동)",052-244-5500,0,2018-05-14,남구,의원
미앤미의원,"울산광역시 남구 삼산로 287, 5층 (삼산동)",052-276-1175,0,2018-04-26,남구,의원
김춘섭내과의원,"울산광역시 중구 태화로 172, 2층 (태화동)",052-245-3435,0,1999-09-27,중구,의원
그린메디의원,울산광역시 동구 화문로 75 (방어동),052-236-1020,0,2014-04-01,동구,의원
하나가정의학과의원,"울산광역시 울주군 청량읍 삼정로 90, 1층",052-225-7582,0,2011-08-16,울주군,의원
청십자흉부외과의원,울산광역시 북구 호계로 202 (호계동),052-295-5919,0,2001-10-06,북구,의원
울산민내과의원,"울산광역시 중구 장춘로 1, 3층, 4층 (우정동)",052-242-0004,0,2014-02-11,중구,의원
남창S의원,"울산광역시 울주군 온양읍 연안2길 13, 3,4층",052-239-6789,0,2014-09-03,울주군,의원
이현정산부인과의원,"울산광역시 남구 삼산로 15, 2층 (신정동)",052-256-1935,0,2008-05-27,남구,의원
정현철케이내과의원,"울산광역시 중구 번영로 566, 3층 (남외동)",052-988-3600,0,2018-09-19,중구,의원
바른선정형외과의원,"울산광역시 남구 문수로 377, 대공원센트럴하임더시티 3층 (옥동)",052-716-1175,0,2018-09-20,남구,의원
서울삼성비뇨기과산부인과의원,"울산광역시 남구 삼산로 274, 5층 (삼산동)",052-269-8575,0,2009-12-24,남구,의원
소망정형외과의원,울산광역시 동구 방어진순환도로 1138 (서부동),052-251-1123,28,2005-06-14,동구,의원
365호계내과의원,울산광역시 북구 호계로 272 (호계동),052-295-1190,0,2014-12-16,북구,의원
김유홍내과의원,"울산광역시 북구 화봉로 67, 2층 (화봉동)",052-288-9693,0,1996-05-01,북구,의원
다정의원,울산광역시 북구 매곡1로 15 (매곡동),052-282-0127,0,2008-02-11,북구,의원
최승호 신경과의원,"울산광역시 남구 삼산로 273, 삼산타워 9층 (삼산동)",052-260-0300,0,2019-02-27,남구,의원
에스덤의원,"울산광역시 북구 박상진12로 11, 지오타워 305~307호 (송정동)",052-297-5115,0,2021-04-08,북구,의원
박내과의원,울산광역시 울주군 언양읍 헌양길 24,052-262-1121,0,1989-08-05,울주군,의원
온양의원,울산광역시 울주군 온양읍 남창강변로 36,052-238-3626,0,2000-12-01,울주군,의원
서생의원,"울산광역시 울주군 서생면 해맞이로 872, 2층",052-239-7582,0,2011-06-15,울주군,의원
오형덕이비인후과의원,"울산광역시 울주군 언양읍 동문길 65, 2층",052-262-1716,0,1997-02-28,울주군,의원
언양한사랑안과의원,"울산광역시 울주군 언양읍 동문길 65, 4층",052-254-5775,0,2001-01-16,울주군,의원
소망의원,울산광역시 울주군 청량읍 덕하로 228,052-258-7328,0,2000-09-20,울주군,의원
남혜주의원,울산광역시 울주군 범서읍 점촌4길 26,052-211-7682,0,2004-06-09,울주군,의원
디데이의원,"울산광역시 남구 삼산로 231, 410호 (달동, 울산센트럴자이)",052-716-5006,0,2016-01-22,남구,의원
덕신정형외과의원,울산광역시 울주군 온산읍 덕남로 31,052-237-2280,0,1998-01-07,울주군,의원
남창가정의학과의원,"울산광역시 울주군 온양읍 남창1길 50, 2층",052-238-9672,0,2011-09-20,울주군,의원
남창정형외과의원,울산광역시 울주군 온양읍 온양로 75,052-239-0211,29,1998-10-09,울주군,의원
동울산신경외과의원,울산광역시 동구 방어진순환도로 689(일산동),052-233-8172,22,1993-01-29,동구,의원
바른맥흉부외과의원,"울산광역시 남구 삼산로 231, 울산 센트럴 자이 4층 411호 (달동)",052-267-7500,0,2019-03-28,남구,의원
제이유의원,"울산광역시 남구 문수로 377, 대공원센트럴하임더시티 3층 302,303호 (옥동)",052-271-7954,0,2020-06-12,남구,의원
영남의원,울산광역시 남구 대학로33번길 17 (무거동),052-277-5074,0,1997-02-17,남구,의원
양내과의원,울산광역시 울주군 온양읍 대운길 15,052-237-8575,0,2020-12-22,울주군,의원
쿨맨남성의원,"울산광역시 남구 화합로 148, 7층 (삼산동)",052-260-7774,0,2018-12-31,남구,의원
라임의원,"울산광역시 남구 북부순환도로 11, 3층 (무거동)",052-972-7582,0,2018-10-19,남구,의원
범서다온의원,"울산광역시 울주군 범서읍 점촌4길 32, 1층",052-961-9111,0,2019-02-18,울주군,의원
로즈메디산부인과의원,울산광역시 동구 방어진순환도로 747 (전하동),052-234-3575,17,2003-05-29,동구,의원
박창민가정의학과의원,"울산광역시 남구 신정로 33, 3층 (달동)",052-267-0896,0,2010-03-04,남구,의원
우리내과의원,"울산광역시 동구 방어진순환도로 747, 2층 (전하동)",052-234-3864,0,1997-10-07,동구,의원
미소마음정신건강의학과의원,"울산광역시 남구 삼산로 266, 굿모닝클리닉 13층 1301호 (삼산동)",052-266-5575,0,2013-08-23,남구,의원
허인정 산부인과의원,"울산광역시 남구 삼산로 273, 삼산타워 12층 1201호 (삼산동)",052-256-0008,1,2019-10-11,남구,의원
윤이비인후과의원,"울산광역시 남구 대학로 141, 2층 (무거동)",052-223-8787,0,2019-01-09,남구,의원
르본의원,"울산광역시 남구 삼산중로74번길 6, 4층 (삼산동)",052-267-8655,0,2013-11-15,남구,의원
닥터리연합내과의원,울산광역시 중구 유곡로 10 (우정동),052-245-7812,0,1997-06-27,중구,의원
평화안과의원,"울산광역시 울주군 언양읍 헌양길 156, 3층 (남빛빌딩)",052-264-8875,0,2012-09-28,울주군,의원
한사랑의원,울산광역시 울주군 온양읍 연안2길 19,052-238-8035,0,2000-05-23,울주군,의원
임윤섭성형외과의원,"울산광역시 남구 울밀로 2906, 한솔애플타워 3층 302호 (무거동)",052-223-7900,0,2021-07-27,남구,의원
동행의원,"울산광역시 중구 반구정16길 4-1, 1~5층 (반구동)",052-700-6200,18,2019-12-11,중구,의원
이태일의원,울산광역시 울주군 온산읍 영남6길 20,052-239-4778,0,1997-11-14,울주군,의원
오늘정신건강의학과의원,"울산광역시 남구 삼산로 281, 8층 (삼산동)",052-269-5579,0,2023-10-06,남구,의원
한빛이비인후과의원,울산광역시 울주군 온양읍 온양로 102,052-239-2713,0,2005-01-27,울주군,의원
강남의원,"울산광역시 중구 번영로 566, 4층 (남외동)",052-281-5583,0,2005-10-07,중구,의원
수미인의원,"울산광역시 울주군 범서읍 구영로 104, 3층",052-700-7088,0,2018-08-24,울주군,의원
음현진산부인과의원,"울산광역시 남구 삼산로 166, 4층 (달동)",052-271-6788,0,2004-07-08,남구,의원
속편한내과의원,"울산광역시 남구 삼산로 281, 3, 4층 (삼산동)",052-256-6336,0,2010-09-29,남구,의원
박철정형외과의원,"울산광역시 중구 학성로 121, 2,3,6층 (옥교동)",052-210-8007,0,2020-01-09,중구,의원
메디아트의원,"울산광역시 남구 삼산로 283, 4층 (삼산동)",052-258-7582,0,2001-12-03,남구,의원
문현수이비인후과의원,"울산광역시 남구 중앙로 243, 3층 (신정동)",052-268-9914,0,2001-12-27,남구,의원
하이닥터 비뇨의학과 의원,"울산광역시 남구 삼산로 245, 12층 (달동)",052-227-5670,0,2019-08-27,남구,의원
송정연세의원,"울산광역시 북구 박상진13로 20, 이니트타워 4,5,8,9층 (송정동)",052-289-1111,15,2021-11-24,북구,의원
하나산부인과의원,울산광역시 북구 호계로 292 (호계동),052-282-8258,0,2003-04-30,북구,의원
이주형내과의원,"울산광역시 울주군 온양읍 온양로 105, 3층",052-237-8800,0,2017-10-23,울주군,의원
우리들마취통증의학과의원,"울산광역시 남구 삼산로 281, 5층 (삼산동)",052-268-0033,0,2002-03-15,남구,의원
블리비의원,"울산광역시 남구 삼산로 273, 삼산타워 10층 (삼산동)",1833-9011,0,2021-06-30,남구,의원
라엘라의원,"울산광역시 남구 삼산로 274, 7층 (삼산동)",052-269-5114,0,2013-11-05,남구,의원
명이비인후과의원,울산광역시 남구 수암로 115 (신정동),052-227-1525,0,2000-02-02,남구,의원
킴스마취통증의학과의원,"울산광역시 남구 삼산로 269, 10층 (삼산동)",052-261-6465,0,1998-11-26,남구,의원
울산제일의원,"울산광역시 남구 수암로 230, 2층 (야음동)",052-271-8588,0,1998-11-30,남구,의원
김호철내과의원,"울산광역시 남구 북부순환도로 13, 3층 (무거동)",052-247-5936,0,2000-04-10,남구,의원
서울이비인후과의원,울산광역시 남구 삼산로 257 (달동),052-266-7177,0,1998-08-17,남구,의원
울산중앙의원,울산광역시 남구 수암로 288 (야음동),052-257-5600,0,1997-04-02,남구,의원
온이비인후과의원,"울산광역시 남구 삼산중로 71, 2층 (달동)",052-275-0515,0,1996-03-06,남구,의원
한나산부인과의원,울산광역시 남구 수암로 113 (신정동),052-268-7901,2,1996-11-20,남구,의원
나요한의원,"울산광역시 남구 산업로339번길 24-10, 2층 201호 (선암동)",052-269-8893,0,1993-06-19,남구,의원
김정호소아과의원,울산광역시 남구 수암로 122 (야음동),052-272-1062,0,1994-05-02,남구,의원
김지수마취통증의학과의원,"울산광역시 남구 중앙로 254, 2층 (신정동, 상운빌딩)",052-266-3624,0,1993-01-27,남구,의원
고려의원,울산광역시 남구 삼호로 79 (무거동),052-247-5163,0,1993-06-10,남구,의원
양이비인후과의원,"울산광역시 남구 수암로 105, 2층 (신정동)",052-267-9200,0,1990-05-04,남구,의원
이성희내과의원,"울산광역시 남구 수암로 118, 2,3층 (신정동)",052-269-5374,0,1991-02-07,남구,의원
울산의원,울산광역시 남구 정동로 73 (삼산동),052-268-1980,0,1990-04-23,남구,의원
박원대내과의원,울산광역시 남구 중앙로 241 (신정동),052-271-1240,0,1989-02-23,남구,의원
보령의원,울산광역시 남구 문수로369번길 3 (옥동),052-271-0991,0,1989-08-10,남구,의원
BB성형외과의원,"울산광역시 남구 삼산로 254, 15층 (달동)",1544-5432,0,2012-06-05,남구,의원
연세리버내과의원,"울산광역시 중구 시계탑거리 39, 지하1,지상2~3층 (옥교동)",052-211-7575,0,2015-07-08,중구,의원
김현경의원,"울산광역시 북구 화봉로 60, 206호 (연암동)",052-287-0314,0,1997-04-11,북구,의원
신통의원,"울산광역시 동구 대학길 130, 4층 (화정동)",052-201-9971,0,2015-01-05,동구,의원
신세계안과의원,"울산광역시 남구 삼산로 285, 2~9층 (삼산동)",052-275-0001,20,2000-08-29,남구,의원
더맑은정신건강의학과의원,"울산광역시 남구 삼산로 247, 마마파파엔베이비빌딩 13층 02호 (달동)",052-708-1313,0,2020-07-13,남구,의원
이성훈연합의원,"울산광역시 중구 태화로 174, 3층 (태화동)",052-245-0834,0,2005-10-19,중구,의원
김도하내과의원,"울산광역시 남구 삼산로 273, 삼산타워 1102호 (삼산동)",052-275-7555,2,2009-10-20,남구,의원
정원정신건강의학과의원,"울산광역시 동구 방어진순환도로 651, 9층 (일산동)",052-236-7575,0,1992-01-16,동구,의원
김재홍정신건강의학과의원,"울산광역시 남구 삼산로 272, 201호 (삼산동, 프리던스빌딩)",052-227-8664,0,2011-12-01,남구,의원
한솔마취통증의학과의원,"울산광역시 중구 번영로 590, 3층 (남외동)",052-221-7575,0,2008-10-13,중구,의원
김남용내과의원,"울산광역시 중구 학성로 150, 2층 (학산동)",052-998-7500,0,2019-03-12,중구,의원
예스리더스의원,"울산광역시 남구 삼산중로 65, 2층 (달동)",052-256-1800,0,2020-12-28,남구,의원
편한제통의원,"울산광역시 남구 북부순환도로 24, 2층 (무거동)",052-225-1555,0,2020-07-31,남구,의원
리더스통증의학과의원,"울산광역시 남구 수암로 138, 타임스퀘어 3층 301~303호 (야음동)",052-912-7575,0,2020-11-19,남구,의원
한국건강관리협회 건강증진의원,울산광역시 중구 번영로 360 (학산동),052-241-2000,0,1999-06-29,중구,의원
연세리더스의원,"울산광역시 남구 삼산중로 65, 3층 (달동)",052-273-7511,0,1999-07-12,남구,의원
서울척척마취통증의학과의원,"울산광역시 남구 중앙로 243-1, 2층 (신정동)",052-265-7588,0,2015-05-28,남구,의원
쥬라기소아청소년과의원,"울산광역시 북구 박상진12로 11, 지오타워 4층 403~405호 (송정동)",052-251-3336,0,2013-09-09,북구,의원
프리비유반외과의원,"울산광역시 중구 번영로 564, 7층 (남외동)",052-224-6060,6,2021-03-09,중구,의원
미래아동의원,울산광역시 동구 방어진순환도로 1162 (서부동),052-235-5533,16,2023-07-24,동구,의원
푸른내과의원,"울산광역시 중구 장춘로 114, 201호 (성남동, 영성빌딩)",052-242-1555,0,2007-02-21,중구,의원
신용억신경과의원,"울산광역시 중구 번영로 576, 6층 (남외동)",052-282-8555,0,2021-03-26,중구,의원
이강우소아청소년과의원,"울산광역시 북구 중산동로 25, 401호 (중산동)",052-268-6575,0,2010-05-20,북구,의원
함께하는의원,울산광역시 북구 염포로 673 (염포동),052-289-7046,0,2007-08-29,북구,의원
미라인의원,"울산광역시 북구 염포로 601 (양정동, 현대자동차문회회관)",052-288-0120,0,1997-12-31,북구,의원
웰당이진우내과의원,"울산광역시 북구 매곡1로 46, 208호 (매곡동, 대우프라자)",052-292-7179,0,2010-03-08,북구,의원
송성환정신건강의학과의원,"울산광역시 남구 삼산로 274, 5층 502호 (삼산동)",052-977-7888,0,2021-04-21,남구,의원
다솜의원,울산광역시 울주군 언양읍 헌양길 84,052-263-1230,0,2004-05-01,울주군,의원
송은영유반외과의원,"울산광역시 남구 삼산로 269, 9층 (삼산동)",052-266-6075,0,2010-03-04,남구,의원
튼튼소아청소년과의원,"울산광역시 중구 번영로 590, 5층 (남외동)",052-212-7575,0,2020-12-14,중구,의원
수암연합의원,울산광역시 남구 수암로 132 (야음동),052-272-0075,0,2017-03-13,남구,의원
몸바른의원,"울산광역시 북구 박상진13로 3, 3층 (송정동)",052-222-7575,0,2021-07-14,북구,의원
덕하연합의원,"울산광역시 울주군 청량읍 삼정로 808, 3층",052-261-0112,0,2023-03-13,울주군,의원
새울산제통의원,"울산광역시 남구 수암로 220, 2층 (야음동)",052-268-1981,0,1996-08-26,남구,의원
연세에스에스(SS)정형외과의원,"울산광역시 남구 삼산로 48, 효천빌딩 4,5층 (신정동)",052-939-0001,0,2021-09-24,남구,의원
진화신경외과의원,"울산광역시 동구 명덕6길 14, 코스모스빌딩 3층 (서부동)",052-236-7582,0,2002-03-09,동구,의원
마인드닥터의원,"울산광역시 남구 삼산로 24, 프라자빌딩 3층 303호 (신정동)",052-260-7525,0,2008-03-06,남구,의원
서울신내과의원,"울산광역시 중구 염포로 8, 2층 (반구동)",052-295-2200,0,2021-10-21,중구,의원
본가정의학과의원,"울산광역시 중구 반구로 46, 2층 (반구동)",052-991-1462,0,2015-07-31,중구,의원
예스정형외과의원,울산광역시 북구 호계로 241 (호계동),052-286-5800,0,2003-09-16,북구,의원
샤인빔의원,"울산광역시 남구 삼산로 283, 소망빌딩 3층 (삼산동)",1644-2178,0,2021-09-24,남구,의원
화목한내과의원,"울산광역시 동구 방어진순환도로 1141, 2층 (서부동)",052-244-1004,0,2022-02-03,동구,의원
제스필의원,"울산광역시 남구 삼산로 281, 7층 (삼산동, 정앤정클리닉빌딩)",052-933-7227,0,2014-06-10,남구,의원
바른정백외과의원,"울산광역시 남구 삼산로 281, 9층 (삼산동, 정앤정크리닉빌딩)",052-273-1717,2,2013-06-12,남구,의원
송정퍼스트이비인후과의원,"울산광역시 북구 박상진13로 3, 4층 401호 (송정동)",052-297-8200,0,2022-02-14,북구,의원
연세힘찬마디의원,"울산광역시 중구 명륜로 41, 4층 (태화동)",052-288-7575,0,2022-02-18,중구,의원
새현대의원,울산광역시 남구 문수로 396 (옥동),052-258-7604,0,1997-03-14,남구,의원
김보경연합내과의원,"울산광역시 중구 번영로 487, 2,6층 (약사동)",052-286-2500,0,2018-09-17,중구,의원
방어진 현대마취통증의학과의원,"울산광역시 동구 방어진순환도로 633, 세인트에스타워 2층, 11층 (일산동)",052-233-9951,0,2015-09-21,동구,의원
나비샘연합의원,"울산광역시 남구 봉월로 5, 4~5층 (신정동)",052-275-2988,5,2005-03-07,남구,의원
한국산업안전보건공단 직업건강의원,울산광역시 중구 종가로 400 (북정동),052-703-0890,0,2014-11-28,중구,의원
서울정신건강의학과의원,"울산광역시 남구 삼산로 231, 울산 센트럴 자이 408ㅡ409호 (달동)",052-933-0250,0,2023-03-02,남구,의원
전병찬신경외과의원,"울산광역시 남구 돋질로 150, 1~2층 (달동)",052-977-0030,7,2022-03-23,남구,의원
아라의원,"울산광역시 동구 방어진순환도로 574, 3층 (화정동)",052-235-9872,0,2016-01-05,동구,의원
해누리 정신건강의학과의원,"울산광역시 남구 수암로 138, 701호 (야음동)",052-257-5793,0,2023-02-24,남구,의원
고든정형외과의원,"울산광역시 남구 번영로 115, 경남은행 달동지점 2,4,5,7층 (달동)",052-258-3390,2,1989-05-09,남구,의원
서울백가정의학과의원,"울산광역시 울주군 온양읍 대안3길 58, 3층",052-713-7222,0,2022-06-24,울주군,의원
이영암내과의원,"울산광역시 남구 삼산로 51, 4층 (신정동)",052-716-0007,16,2013-02-20,남구,의원
이재담마취통증의학과의원,"울산광역시 동구 진성14길 90, 2층 (전하동)",052-201-7579,0,2012-05-24,동구,의원
안신경외과의원,울산광역시 동구 방어진순환도로 799 (전하동),052-235-4900,15,2000-10-26,동구,의원
새현대의원,"울산광역시 중구 반구정4길 64, 2층 (반구동)",052-292-6291,0,2023-11-30,중구,의원
아나파마취통증의학과의원,"울산광역시 중구 번영로 574, 동천빌딩 3층 (남외동)",052-911-1100,0,2023-03-07,중구,의원
바른정형외과의원,"울산광역시 울주군 온양읍 대안3길 58, 2층",052-707-0119,0,2022-08-19,울주군,의원
에스재활의학과의원,"울산광역시 남구 수암로 130, 2~3층 (야음동)",052-700-5288,0,2022-07-18,남구,의원
SC주미안피부과의원,"울산광역시 남구 수암로 132, 3,5층 (야음동)",052-269-0880,0,2015-06-29,남구,의원
서울가정의학과의원,"울산광역시 중구 서원6길 4, 2층 (반구동)",052-282-9990,0,2004-05-03,중구,의원
이희정유외과의원,"울산광역시 중구 종가6길 8-18, 4층 (우정동)",052-227-8880,2,2018-09-21,중구,의원
강남엘케이성형외과의원(강남LK성형외과의원),"울산광역시 남구 삼산로 274, 2층 (삼산동)",052-267-2110,0,2015-05-20,남구,의원
이영달내과의원,"울산광역시 중구 명륜로 41, 8층 801호 (태화동)",052-243-2088,0,2022-09-08,중구,의원
바른윤의원,울산광역시 동구 문재6길 4 (방어동),052-911-1092,0,2015-01-05,동구,의원
울산하트내과의원,"울산광역시 남구 수암로 130, 901호 (야음동)",052-700-3331,0,2022-09-22,남구,의원
현대연합의원,"울산광역시 북구 상방로 106, 2층 (연암동)",052-291-9800,0,2015-12-22,북구,의원
아이좋은소아청소년과의원,"울산광역시 울주군 언양읍 능골길 17-5, 2, 3, 4층",052-916-0011,22,2020-12-23,울주군,의원
이수진소아청소년과의원,"울산광역시 중구 번영로 582, 5층 (남외동)",052-295-7585,0,2010-04-15,중구,의원
임정현내과의원,"울산광역시 남구 삼산로 17, 애플빌딩 2층 (신정동)",052-271-3288,0,2008-06-10,남구,의원
